Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Packet Length Max,Packet Length Min,Flow Bytes/s,Flow Packets/s,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Fwd Seg Size Min,Init Fwd Win Bytes,Init Bwd Win Bytes
TCP,6038416211178.231,3467.0,3467.0,189786.0,66,54,2.715402305964458e-07,5.0114762878399865e-09,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,3467.0,69340.0,69340.0,54,56805599.0,56805599.0
TCP,9330197764467.645,5357.0,5357.0,7845375.0,1466,188,7.710951436005174e-06,5.261271161479476e-09,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,5357.0,107140.0,107140.0,188,2742784.0,2742784.0
UDP,1741683356.372779,1.0,1.0,70.0,70,70,4.019100242525234e-08,5.74157177503605e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,70,,
UDP,1741683356.373051,1.0,1.0,70.0,70,70,4.019100242524607e-08,5.741571775035152e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,70,,
TCP,13933466851.88576,8.0,8.0,5633.0,1454,54,1.697987146491109e-06,1.5604771859911015e-09,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,160.0,160.0,54,4092.0,4092.0
UDP,1741683356.384168,1.0,1.0,102.0,102,102,5.856403210498475e-08,5.741571774998505e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,102,,
UDP,1741683356.384168,1.0,1.0,146.0,146,146,8.382694791497816e-08,5.741571774998505e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,146,,
UDP,40058717219.15762,23.0,23.0,10030.0,1292,73,1.6712665892964283e-06,2.1440702738921497e-09,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,460.0,460.0,73,,
UDP,47025450651.1949,27.0,27.0,14052.0,1292,64,1.4577408333381388e-06,2.2343078256832525e-09,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,540.0,540.0,64,,
TCP,12191783496.183552,7.0,7.0,886.0,375,54,1.3701167407512612e-07,1.4887075387322702e-09,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,140.0,140.0,54,160.0,160.0
TCP,1741683356.683849,1.0,1.0,55.0,55,55,3.157864475705822e-08,5.741571774010587e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,55,508.0,508.0
TCP,1741683356.694239,1.0,1.0,66.0,66,66,3.789437370824382e-08,5.741571773976335e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,66,1045.0,1045.0
TCP,6966733432.035395,4.0,4.0,217.0,55,54,6.478406815917067e-08,1.1961607858050616e-09,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,80.0,54,2044.0,2044.0
TCP,15675150214.595116,9.0,9.0,3032.0,1454,54,4.930431220511833e-07,1.6242724272917797e-09,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,180.0,180.0,54,1111024.0,1111024.0
TCP,15675150215.83979,9.0,9.0,3625.0,1429,54,5.172926048399383e-07,1.6242724272212157e-09,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,180.0,180.0,54,655359.0,655359.0
TCP,3483366717.820312,2.0,2.0,108.0,54,54,4.650673131994965e-08,8.612357651842528e-10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,40.0,40.0,54,138.0,138.0
UDP,6966733444.899308,4.0,4.0,698.0,175,174,2.0846690136494388e-07,1.1961607835955925e-09,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,80.0,174,,
TCP,13933466887.799156,8.0,8.0,3067.0,1438,54,4.868046298372599e-07,1.5604771819319943e-09,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,160.0,160.0,54,983536.0,983536.0
TCP,27866933776.726852,16.0,16.0,14010.0,1466,54,1.135319086737745e-06,1.9410698115167763e-09,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,320.0,320.0,54,1026160.0,1026160.0
TCP,1741683360.958923,1.0,1.0,55.0,55,55,3.157864467954641e-08,5.741571759917529e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,55,512.0,512.0
TCP,1741683361.031845,1.0,1.0,66.0,66,66,3.78943736138691e-08,5.741571759677137e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,66,9.0,9.0
TCP,1741683362.63118,1.0,1.0,55.0,55,55,3.157864464922654e-08,5.741571754404825e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,55,511.0,511.0
