Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
17,0.0,1,1,92,92,92,92,0.0,0.0,92,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,0.0,1,1,212,212,212,212,0.0,0.0,212,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,1.2840290069580078,10,10,3484,3484,1466,54,348.4,433.5634209662987,1466,54,348.4,433.5634209662987,5426.668682904511,15.57597210937001,0.14266988966200086,0.158217827755044,0.3260939121246338,0.0,1.2840290069580078,0.14266988966200086,0.158217827755044,0.3260939121246338,0.0,1.2840290069580078,0.14266988966200086,0.158217827755044,0.3260939121246338,0.0,4,4,0,0,848,0,7.787986054685005,7.787986054685005,0,0,0,0,0,1,1,0,4,9,0,0,0,0,348.4,0,0,0,0,0,0,0,0,0,0,0,0,1242352,1242352,0,0,0,0,0,0,0.0,0.0,0,0
6,1.28855299949646,10,10,5751,5751,1466,54,575.1,599.1806822653748,1466,54,575.1,599.1806822653748,8926.291743137259,15.521286286101999,0.14317255549960667,0.15961317193385668,0.3274838924407959,0.0,1.28855299949646,0.14317255549960667,0.15961317193385668,0.3274838924407959,0.0,1.28855299949646,0.14317255549960667,0.15961317193385668,0.3274838924407959,0.0,4,4,0,0,848,0,7.7606431430509994,7.7606431430509994,0,0,0,0,0,1,1,0,4,10,0,0,0,0,575.1,0,0,0,0,0,0,0,0,0,0,0,0,37815295,37815295,0,0,0,0,0,0,0.0,0.0,0,0
17,53.88658595085144,41,41,3214,3214,350,71,78.39024390243902,42.977519959761885,350,71,78.39024390243902,42.977519959761885,119.28757197315882,1.521714514903395,1.347164648771286,2.0097261255672123,6.423825025558472,0.016604900360107422,53.88658595085144,1.347164648771286,2.0097261255672123,6.423825025558472,0.016604900360107422,53.88658595085144,1.347164648771286,2.0097261255672123,6.423825025558472,0.016604900360107422,0,0,0,0,328,0,0.7608572574516975,0.7608572574516975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.39024390243902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
17,53.888344049453735,42,42,3049,3049,136,65,72.5952380952381,16.980464298730276,136,65,72.5952380952381,16.980464298730276,113.15990698106849,1.5587786465086508,1.3143498548647252,1.9921774940088288,6.424901962280273,0.0,53.888344049453735,1.3143498548647252,1.9921774940088288,6.424901962280273,0.0,53.888344049453735,1.3143498548647252,1.9921774940088288,6.424901962280273,0.0,0,0,0,0,336,0,0.7793893232543254,0.7793893232543254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,55,55,55,55,0.0,0.0,55,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0,0,0,0,0,0,0.0,0.0,0,0
6,0.0,1,1,66,66,66,66,0.0,0.0,66,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,1047,1047,0,0,0,0,0,0,0.0,0.0,0,0
6,34.65369009971619,3,3,163,163,55,54,54.333333333333336,0.4714045207910317,55,54,54.333333333333336,0.4714045207910317,9.407367557738676,0.17314173419150938,17.326845049858093,17.249369978904724,34.57621502876282,0.07747507095336914,34.65369009971619,17.326845049858093,17.249369978904724,34.57621502876282,0.07747507095336914,34.65369009971619,17.326845049858093,17.249369978904724,34.57621502876282,0.07747507095336914,0,0,0,0,240,0,0.08657086709575469,0.08657086709575469,0,0,0,0,0,1,0,0,0,3,0,0,0,0,54.333333333333336,0,0,0,0,0,0,0,0,0,0,0,0,1533,1533,0,0,0,0,0,0,0.0,0.0,0,0
6,34.581506967544556,2,2,120,120,66,54,60.0,6.0,66,54,60.0,6.0,6.940125548179403,0.11566875913632338,34.581506967544556,0.0,34.581506967544556,34.581506967544556,34.581506967544556,34.581506967544556,0.0,34.581506967544556,34.581506967544556,34.581506967544556,34.581506967544556,0.0,34.581506967544556,34.581506967544556,0,0,0,0,208,0,0.05783437956816169,0.05783437956816169,0,0,0,0,0,1,0,0,0,2,0,0,0,0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0.0,0.0,0,0
