Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,0.227144957,4,4,783,783,0,0,0,0,0,0,0,0,6894.2759,35.21980026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,518,0,0,0,0,0,0,0,0,0,0,0,0,195.75,0,0,0,0,0,0,0,0,0,0,0,0,65544,65544,0,0,0,0,0,0,0,0,0,0
6,0.000857115,3,3,186,186,0,0,0,0,0,0,0,0,434014.2108,7000.229207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,78,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1530,1530,0,0,0,0,0,0,0,0,0,0
17,53.96722603,41,41,2971,2971,0,0,0,0,0,0,0,0,110.1038619,1.519440706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,128,0,0,0,0,0,0,0,0,0,0,0,0,72.46341463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,53.93200994,40,40,3122,3122,0,0,0,0,0,0,0,0,115.7753996,1.48334913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,329,0,0,0,0,0,0,0,0,0,0,0,0,78.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.101850986,13,13,6800,6800,0,0,0,0,0,0,0,0,12342.86684,23.59665719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1466,0,0,0,0,0,0,0,0,0,0,0,0,523.0769231,0,0,0,0,0,0,0,0,0,0,0,0,3209215,3209215,0,0,0,0,0,0,0,0,0,0
6,0.847270012,11,11,7441,7441,0,0,0,0,0,0,0,0,17564.64857,25.96574845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1466,0,0,0,0,0,0,0,0,0,0,0,0,676.4545455,0,0,0,0,0,0,0,0,0,0,0,0,42013439,42013439,0,0,0,0,0,0,0,0,0,0
6,0.062012911,2,2,108,108,0,0,0,0,0,0,0,0,3483.14564,64.50269703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1022,1022,0,0,0,0,0,0,0,0,0,0
6,0,1,1,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,501,501,0,0,0,0,0,0,0,0,0,0
6,24.96064806,13,13,11068,11068,0,0,0,0,0,0,0,0,886.8359486,1.041639622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1454,0,0,0,0,0,0,0,0,0,0,0,0,851.3846154,0,0,0,0,0,0,0,0,0,0,0,0,6663,6663,0,0,0,0,0,0,0,0,0,0
6,25.00640607,16,16,1770,1770,0,0,0,0,0,0,0,0,141.5637253,1.279672093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,345,0,0,0,0,0,0,0,0,0,0,0,0,110.625,0,0,0,0,0,0,0,0,0,0,0,0,888,888,0,0,0,0,0,0,0,0,0,0
